TransactionID,FinancialYear,TransactionDate,PostingDate,DocumentNumber,InvoiceNumber,SupplierID,SupplierCategory,ProgrammeCode,DirectorateCode,CostCentreCode,RegionCode,FundSourceCode,DonorCode,ActivityCode,SubActivityCode,VoteCode,ProcurementCategory,Description,GrossAmount,TaxAmount,NetAmount,CommitmentReference,PurchaseOrderReference,PaymentVoucherReference,PaymentStatus,PaymentDate,AccountingPeriod,EnteredByRole,ApprovedByRole,SourceSystem,DataQualityFlag
TXN-0000001,FY2023/2024,2023-11-22,2023-11-26,DOC-823809,INV-288656,SUP-6132,Printing and Stationery,PRG-13,DIR-13,CC-018,RG-05,FS-01,DON-00,ACT-029,ACT-029-S02,V-2430,Equipment,Equipment - Regional Service Coordination,503000,80500,422500,CMT-108887,,PV-112542,Paid,2024-01-03,FY2023/2024-M05,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000002,FY2023/2024,2024-01-02,2024-01-02,DOC-788500,INV-976042,SUP-4552,Construction,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2460,Consultancy,Consultancy - Legal Advisory Services,191000,0,191000,,,PV-225805,Paid,2024-01-10,FY2023/2024-M07,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000003,FY2023/2024,2023-08-30,2023-08-30,DOC-825846,INV-800007,SUP-6298,Training,PRG-09,DIR-09,CC-009,RG-01,FS-04,DON-02,ACT-022,ACT-022-S03,V-2340,Training,Training - Stakeholder Engagement,158000,25300,132700,CMT-177591,PO-165417,PV-501393,Paid,2023-09-21,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000004,FY2023/2024,2024-01-20,2024-01-23,DOC-666893,INV-906048,SUP-8065,Maintenance,PRG-12,DIR-12,CC-022,RG-02,FS-01,DON-00,ACT-027,ACT-027-S02,V-2520,ICT Services,ICT Services - Infrastructure Construction,310000,0,310000,,PO-563031,PV-850151,Paid,2024-02-28,FY2023/2024-M07,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000005,FY2023/2024,2023-11-29,2023-12-02,DOC-139673,INV-796889,SUP-7397,Training,PRG-07,DIR-07,CC-007,RG-01,FS-02,DON-00,ACT-017,ACT-017-S01,V-2212,Training,Training - Legal Advisory Services,520000,0,520000,CMT-445852,,PV-702553,Paid,2024-01-16,FY2023/2024-M05,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000006,FY2023/2024,2023-07-18,2023-07-19,DOC-661307,INV-476353,SUP-6463,Equipment,PRG-11,DIR-11,CC-032,RG-01,FS-03,DON-00,ACT-026,ACT-026-S02,V-2430,Medical Supplies,Medical Supplies - Equipment Maintenance and Repair,493000,0,493000,CMT-157875,PO-778506,PV-195071,Paid,2023-08-23,FY2023/2024-M01,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000007,FY2023/2024,2023-12-22,2023-12-23,DOC-761249,INV-822303,SUP-6886,Security Services,PRG-12,DIR-12,CC-022,RG-02,FS-02,DON-00,ACT-027,ACT-027-S02,V-2540,Fuel and Lubricants,Fuel and Lubricants - Infrastructure Construction,311000,0,311000,CMT-763529,PO-298667,PV-246740,Paid,2024-01-21,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000008,FY2023/2024,2023-07-10,2023-07-13,DOC-117215,INV-138842,SUP-6558,Professional Services,PRG-13,DIR-13,CC-013,RG-01,FS-01,DON-00,ACT-029,ACT-029-S03,V-2510,ICT Services,ICT Services - Regional Service Coordination,482000,77100,404900,CMT-856035,PO-223928,PV-321960,Paid,2023-08-15,FY2023/2024-M01,Accounts Officer,Chief Accountant,IFMIS,Warning
TXN-0000009,FY2023/2024,2024-05-16,2024-05-20,DOC-763393,INV-152384,SUP-6035,ICT Services,PRG-11,DIR-11,CC-030,RG-07,FS-01,DON-00,ACT-025,ACT-025-S01,V-2212,Fuel and Lubricants,Fuel and Lubricants - Technical Service Delivery,463000,0,463000,CMT-278980,,PV-167064,Paid,2024-06-02,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000010,FY2023/2024,2023-08-22,2023-08-25,DOC-437211,INV-977057,SUP-4493,Professional Services,PRG-08,DIR-08,CC-008,RG-01,FS-03,DON-00,ACT-020,ACT-020-S02,V-2212,Utilities,Utilities - Risk Assessment and Management,178000,28500,149500,CMT-451801,PO-387198,PV-248097,Paid,2023-10-05,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
