AllocationID,FinancialYear,Month,FYMonthNumber,CalendarYear,BudgetVersion,ProgrammeCode,DirectorateCode,CostCentreCode,RegionCode,FundSourceCode,DonorCode,ActivityCode,SubActivityCode,VoteCode,MonthlyAllocationAmount,CumulativeAllocationAmount,AllocationDate,AllocationReference,SourceDocument,CreatedByRole,CreatedDate,LastUpdatedDate
MA-000001,FY2023/2024,July,1,2023,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,1754254,1754254,2023-07-01,MA-371782,BD-148050,Head of Budget,2023-06-29,2023-07-01
MA-000002,FY2023/2024,August,2,2023,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,1403403,3157657,2023-08-01,MA-980660,BD-148050,Head of Budget,2023-07-29,2023-08-01
MA-000003,FY2023/2024,September,3,2023,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,2105105,5262762,2023-09-01,MA-903013,BD-148050,Head of Budget,2023-08-27,2023-09-01
MA-000004,FY2023/2024,October,4,2023,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,1754254,7017016,2023-10-01,MA-608136,BD-148050,Head of Budget,2023-09-29,2023-10-01
MA-000005,FY2023/2024,November,5,2023,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,1929679,8946695,2023-11-01,MA-387936,BD-148050,Head of Budget,2023-10-28,2023-11-01
MA-000006,FY2023/2024,December,6,2023,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,1578829,10525524,2023-12-01,MA-181247,BD-148050,Head of Budget,2023-11-28,2023-12-01
MA-000007,FY2023/2024,January,7,2024,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,1754254,12279778,2024-01-01,MA-345884,BD-148050,Head of Budget,2023-12-29,2024-01-01
MA-000008,FY2023/2024,February,8,2024,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,1929679,14209457,2024-02-01,MA-452161,BD-148050,Head of Budget,2024-01-29,2024-02-01
MA-000009,FY2023/2024,March,9,2024,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,2105105,16314562,2024-03-01,MA-666390,BD-148050,Head of Budget,2024-02-29,2024-03-01
MA-000010,FY2023/2024,April,10,2024,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,2280530,18595092,2024-04-01,MA-245095,BD-148050,Head of Budget,2024-03-30,2024-04-01
MA-000011,FY2023/2024,May,11,2024,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,2631381,21226473,2024-05-01,MA-342495,BD-148050,Head of Budget,2024-04-27,2024-05-01
MA-000012,FY2023/2024,June,12,2024,Original,PRG-01,DIR-01,CC-001,RG-01,FS-01,DON-00,ACT-038,ACT-038-S03,V-2210,3508509,24734982,2024-06-01,MA-827659,BD-148050,Head of Budget,2024-05-30,2024-06-01
MA-000013,FY2023/2024,July,1,2023,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,3508508,3508508,2023-07-01,MA-840734,BD-205907,Head of Budget,2023-06-29,2023-07-01
MA-000014,FY2023/2024,August,2,2023,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,2806807,6315315,2023-08-01,MA-167348,BD-205907,Head of Budget,2023-07-28,2023-08-01
MA-000015,FY2023/2024,September,3,2023,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,4210210,10525525,2023-09-01,MA-527398,BD-205907,Head of Budget,2023-08-29,2023-09-01
MA-000016,FY2023/2024,October,4,2023,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,3508508,14034033,2023-10-01,MA-668969,BD-205907,Head of Budget,2023-09-27,2023-10-01
MA-000017,FY2023/2024,November,5,2023,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,3859359,17893392,2023-11-01,MA-535970,BD-205907,Head of Budget,2023-10-31,2023-11-01
MA-000018,FY2023/2024,December,6,2023,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,3157657,21051049,2023-12-01,MA-316881,BD-205907,Head of Budget,2023-11-27,2023-12-01
