ProcurementPlanID,FinancialYear,Directorate,CostCentre,RegionCode,ProcurementDescription,ProcurementCategory,ProcurementMethod,PlannedProcurementDate,EstimatedCost,ApprovedBudget,ActualContractValue,SupplierCategory,TenderReference,ContractStartDate,ContractEndDate,ProcurementStatus,PercentageComplete,AmountPaid,OutstandingContractAmount,ResponsibleRole,DelayDays,RiskRating
PP-00001,FY2023/2024,DIR-12,CC-022,RG-02,Maintenance - Infrastructure Project Unit 01,Consultancy,Direct Procurement,2024-01-04,5497000,5669000,0,Training,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00002,FY2023/2024,DIR-09,CC-009,RG-01,Travel and Accommodation - Corporate Communications and Customer Experience Directorate - HQ,Maintenance,Framework Agreement,2024-03-11,2600000,2799000,2506000,Printing and Stationery,TND-922384,2024-04-16,2024-10-06,Completed,60,1515000,991000,Procurement Officer,86,High
PP-00003,FY2023/2024,DIR-06,CC-006,RG-01,Consultancy - Information and Communication Technology Directorate - HQ,Fuel and Lubricants,Framework Agreement,2023-11-01,2781000,2680000,0,Travel and Accommodation,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00004,FY2023/2024,DIR-04,CC-004,RG-01,Cleaning Services - Human Resource and Administration Directorate - HQ,Training,Direct Procurement,2023-09-22,2561000,2513000,2915000,Security Services,TND-867714,2023-11-19,2024-08-31,Advertised,56,1640000,1275000,Procurement Officer,0,Low
PP-00005,FY2023/2024,DIR-09,CC-009,RG-01,ICT Services - Corporate Communications and Customer Experience Directorate - HQ,Travel and Accommodation,Framework Agreement,2023-12-19,3706000,3633000,3987000,Maintenance,TND-736097,2024-02-02,2024-12-30,Advertised,92,3683000,304000,Procurement Officer,0,Low
PP-00006,FY2023/2024,DIR-02,CC-002,RG-01,Construction - Finance and Accounts Directorate - HQ,Equipment,Open Tender,2024-03-12,4258000,4071000,3796000,Utilities,TND-283426,2024-04-22,2025-02-09,Contract Signed,65,2465000,1331000,Procurement Officer,0,Low
PP-00007,FY2023/2024,DIR-03,CC-003,RG-01,"Printing and Stationery - Strategy, Planning and Performance Directorate - HQ",Security Services,Open Tender,2024-03-20,3654000,3802000,3473000,Fuel and Lubricants,TND-124295,2024-05-13,2024-09-09,Evaluation,53,1834000,1639000,Procurement Officer,0,Low
PP-00008,FY2023/2024,DIR-10,CC-010,RG-01,"Printing and Stationery - Research, Monitoring and Evaluation Directorate - HQ",Medical Supplies,Low-Value Procurement,2023-10-09,437000,451000,423000,ICT Services,TND-299952,2023-12-18,2024-11-06,Evaluation,83,351000,72000,Procurement Officer,0,Low
PP-00009,FY2023/2024,DIR-13,CC-017,RG-04,Office Furniture - Regional Office - Eastern Region,Utilities,Request for Quotations,2023-09-17,4295000,4330000,3879000,Consultancy,TND-723056,2023-12-02,2024-08-12,Completed,79,3050000,829000,Procurement Officer,43,Medium
PP-00010,FY2023/2024,DIR-11,CC-011,RG-01,Maintenance - Technical Operations Directorate - HQ,Training,Open Tender,2023-08-09,2627000,2745000,0,Security Services,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00011,FY2023/2024,DIR-12,CC-026,RG-04,Cleaning Services - Infrastructure Project Unit 05,Training,Request for Quotations,2023-12-21,6854000,7422000,0,Utilities,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00012,FY2023/2024,DIR-03,CC-003,RG-01,"Travel and Accommodation - Strategy, Planning and Performance Directorate - HQ",Medical Supplies,Open Tender,2024-01-02,4354000,4456000,0,Travel and Accommodation,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00013,FY2023/2024,DIR-12,CC-025,RG-04,Fuel and Lubricants - Infrastructure Project Unit 04,Printing and Stationery,Framework Agreement,2023-12-01,7213000,7760000,8144000,Security Services,TND-254492,2024-01-21,2024-12-06,Advertised,28,2278000,5866000,Procurement Officer,0,Low
PP-00014,FY2023/2024,DIR-13,CC-017,RG-04,ICT Services - Regional Office - Eastern Region,Printing and Stationery,Restricted Tender,2023-12-16,1146000,1100000,1078000,ICT Services,TND-704322,2024-03-05,2024-12-12,Delayed,38,409000,669000,Procurement Officer,101,Critical
PP-00015,FY2023/2024,DIR-01,CC-001,RG-01,Medical Supplies - Office of the Chief Executive Officer - HQ,Security Services,Direct Procurement,2024-02-27,1659000,1806000,0,Printing and Stationery,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00016,FY2023/2024,DIR-03,CC-003,RG-01,"Utilities - Strategy, Planning and Performance Directorate - HQ",Printing and Stationery,Restricted Tender,2023-10-09,3426000,3483000,2991000,Printing and Stationery,TND-294081,2023-12-10,2024-03-29,Contract Signed,31,926000,2065000,Procurement Officer,0,Low
PP-00017,FY2023/2024,DIR-13,CC-013,RG-01,Training - Regional Operations Directorate - HQ,ICT Services,Restricted Tender,2023-07-08,318000,313000,0,Training,,,,Ongoing,0,0,0,Procurement Officer,10,Low
