RevenueTransactionID,FinancialYear,TransactionDate,RegionCode,RevenueCentre,RevenueStream,CustomerCategory,ReceiptReference,BudgetedRevenue,ActualRevenue,Variance,CollectionChannel,ReconciliationStatus,BankingDate,DaysToBank,ResponsibleRole,ExceptionFlag,Month,FYMonthNumber
REV-000001,FY2023/2024,2024-04-09,RG-01,CC-003,Certification Fees,International Organisation,RCP-400077,622000,440000,-182000,MPESA,Reconciled,2024-04-13,4,Revenue Manager,No,April,10
REV-000002,FY2023/2024,2024-03-08,RG-01,CC-003,Facility Hire,Government Agency,RCP-985534,748000,861000,113000,Online Portal,Reconciled,2024-03-10,2,Revenue Manager,No,March,9
REV-000003,FY2023/2024,2023-07-06,RG-04,CC-026,Inspection Fees,NGO,RCP-778472,633000,567000,-66000,Bank Transfer,Reconciled,2023-07-16,10,Revenue Manager,Yes,July,1
REV-000004,FY2023/2024,2024-02-15,RG-02,CC-015,Service Fees,Individual,RCP-754289,155000,131000,-24000,Cash,Reconciled,2024-02-23,8,Revenue Manager,Yes,February,8
REV-000005,FY2023/2024,2024-01-10,RG-03,CC-016,Certification Fees,NGO,RCP-150163,353000,312000,-41000,Online Portal,Reconciled,2024-01-14,4,Revenue Manager,No,January,7
REV-000006,FY2023/2024,2023-12-01,RG-04,CC-017,Consultancy Income,Government Agency,RCP-989653,567000,643000,76000,Cash,Reconciled,2023-12-15,14,Revenue Manager,Yes,December,6
REV-000007,FY2023/2024,2023-09-23,RG-03,CC-027,Training Fees,Private Company,RCP-611715,687000,571000,-116000,Bank Transfer,Reconciled,2023-10-02,9,Revenue Manager,Yes,September,3
REV-000008,FY2023/2024,2023-09-21,RG-01,CC-011,Inspection Fees,Private Company,RCP-398256,545000,414000,-131000,Bank Transfer,Reconciled,2023-10-04,13,Revenue Manager,Yes,September,3
REV-000009,FY2023/2024,2023-11-08,RG-01,CC-031,Licensing Fees,Private Company,RCP-487232,415000,287000,-128000,Bank Transfer,Reconciled,2023-11-12,4,Revenue Manager,No,November,5
REV-000010,FY2023/2024,2024-02-03,RG-07,CC-020,Publication Sales,Individual,RCP-404672,671000,556000,-115000,Cheque,Reconciled,2024-02-08,5,Revenue Manager,No,February,8
